generation,hypervolume,spacing,max_gap,crowding_mean,diversity,entropy,simpson,gd,igd,n_points,n_front_points
0,2863.7887580264196,0.0,1.1557624677332434,0.0,44.984356014446576,4.087462841225814,1.0,4.6912208335408545,2.2928062615166844,17,2
1,2497.6778190753053,0.2640188437863861,0.7252470388645094,1.5407473432570868,44.03000041201192,4.321928094858508,1.0,4.531044567254749,4.216596585166455,20,5
2,3291.6600529404113,0.22030246113553065,0.5545598099871398,0.7184865324763017,46.85993431049764,5.044394119310844,1.0,2.294132280845839,0.6663880382383444,33,7
3,2504.0764145129006,0.1851500942633644,0.568992186755672,0.6600159393511154,45.28462632701906,4.95419631034215,1.0,2.033363770887114,0.5605564576739951,31,8
4,3313.6378372695435,0.1019270998318361,0.3753037522478806,0.4730010340492532,39.803882309016096,5.285402218805985,1.0,1.6855346158843747,0.5405392938135375,39,14
5,2209.7410243835097,0.1729556030441635,0.5390816013987454,0.5835486312349949,42.10115861892691,4.95419631034215,0.9956989247311828,1.9279150916782544,0.35309897826793957,31,11
6,1707.312182631449,0.15528159895694518,0.5098528001366596,0.4440480145009695,42.41526918696291,4.999999999953834,0.9959677419354839,1.0900157472145502,0.4301392818263988,32,14
7,1939.330817194693,0.25966060012232534,0.8722927791316302,0.2985161568183128,36.272105689841396,5.209453365575569,0.9954954954954955,0.9358935396652254,0.369857343862271,37,18
8,3030.152239403901,0.23158388358954526,0.6360066483660454,0.44904767703339743,41.628633835197775,5.209453365575569,0.9984984984984985,1.0249046144676346,0.5380641518512006,37,14
9,1908.7288390148888,0.2527691928117975,0.8303808956611434,0.3917911799937414,33.209479235886285,5.209453365575569,1.0,1.2221031526517132,0.39351841369715224,37,15
10,2911.639123907568,0.25732541127371966,0.9336305943931045,0.4523792478742411,38.7874168413137,4.999999999953834,1.0,0.9800552006492466,0.3880461790058826,32,15
11,2475.4218349445387,0.4046248279461362,1.7395980695398823,0.27948149429314556,46.27652601590621,5.1292830168944725,1.0,0.8155217109030819,0.49484684537316753,35,19
12,1830.8328945572048,0.17740424611951133,0.6672190642938389,0.40809378852669054,39.13184118252204,5.2479275133887615,1.0,1.4407815251009524,0.286337200315324,38,16
13,2402.811686717912,0.13933962358088156,0.4127565895638803,0.2496460879277987,38.34531256249745,5.169925001390376,0.9984126984126984,0.7803326142738902,0.32763256793462664,36,23
14,2171.6276515595714,0.1750403276940182,0.5759094796529638,0.28692088437587876,38.863104471130185,5.209453365575569,1.0,0.7504564098923096,0.3611010653988296,37,22
15,1988.0157824807454,0.11397867732491197,0.39596448293546516,0.2354125931076438,41.765505600114,5.209453365575569,1.0,0.5963175892393153,0.37959039923090915,37,26
16,2043.0993432043933,0.19474674700116645,0.7988346285936281,0.33324771264905956,41.12418486995549,5.209453365575569,1.0,0.7788466558546332,0.3919794327737783,37,19
